team,points
Tel_Aviv_University_A,15
Stanford_University_A,16
University_of_Oxford_A,18
McGill_University_A,14
University_of_Sydney_Union_E,13
University_of_Sydney_Union_F,15
Dartmouth_College_A,13
University_of_Sydney_Union_B,14
University_of_Belgrade_A,13
University_of_New_South_Wales_A,11
Yale_University_A,13
University_of_Sydney_Union_A,12
University_of_Zagreb_A,14
University_of_Sydney_Union_D,12
University_of_Bucharest_Romania_A,12
University_of_Oxford_B,13
Hobart_and_William_Smith_Colleges_B,14
Sunway_University_Malaysia_A,13
Nanyang_Technological_University_B,12
Princeton_University_A,15
University_of_Chicago_B,13
Princeton_University_G,11
University_of_Auckland_A,13
University_of_California_Los_Angeles_A,14
Hankuk_University_of_Foreign_Studies_A,13
University_of_New_South_Wales_C,14
The_University_of_Melbourne_A,13
University_of_Chicago_C,12
Cambridge_Union_Society_B,11
University_of_California_Berkeley_A,11
Harvard_College_D,11
Australian_National_University_A,12
University_of_Technology_MARA_C,10
Sciences_Po_A,11
University_of_the_Philippines_Diliman_B,10
Bina_Nusantara_University_B,13
Harvard_College_C,14
University_of_New_South_Wales_B,13
Ateneo_de_Manila_University_CF,11
Cornell_University_A,12
Hart_House_B,11
University_of_Sydney_Union_H,13
National_University_of_Singapore_A,14
University_of_Sydney_Union_C,11
Yale_University_B,12
Ateneo_de_Manila_University_LN,10
Queens_Debating_Union_Queens_University_A,12
Hart_House_A,9
Australian_National_University_B,9
Nanyang_Technological_University_A,11
Macquarie_University_A,10
University_of_Oxford_C,10
Princeton_University_E,10
Cambridge_Union_Society_A,9
The_University_of_Melbourne_B,11
Haifa_University_A_,10
University_of_Sydney_Union_G,12
Harvard_College_A,12
University_of_Adelaide_1,10
University_of_Chicago_A,10
University_of_Queensland_B,12
Indian_Institute_of_Technology_Bombay_B,13
The_University_of_Melbourne_C,12
Stanford_University_C,10
University_of_Western_Ontario_Debate_Society_A,11
University_of_Queensland_A,14
Indian_Institute_of_Technology_Bombay_C,13
McGill_University_C,12
Kwame_Nkrumah_University_of_Science_and_Technology_B,10
University_of_the_Philippines_Los_Baos_A,10
De_La_Salle_University_EJ,9
Higher_School_of_Economics_(Saint-Petersburg)_A,9
Princeton_University_C,9
Osaka_University_Japan_A,11
Bina_Nusantara_University_A,9
Sciences_Po_B,11
Princeton_University_F,9
University_of_Cape_Town_A,8
Durham_University_AW,11
National_University_of_Singapore_B,9
The_University_Philosophical_Society_B,8
Stanford_University_D,12
University_of_Arts_Belgrade_A,10
University_of_Edinburgh_Debates_Union_A,9
University_of_Auckland_B,12
Cambridge_Union_Society_C,11
Stanford_University_F,12
University_of_New_South_Wales_D,10
University_of_Pennsylvania_A,11
University_of_Belgrade_B,9
Harvard_College_E,13
McGill_University_B,10
Princeton_University_D,9
Indian_Institute_of_Technology_Bombay_A,11
National_University_of_Singapore_C,9
National_Law_Institute_University_Bhopal_A,13
Stanford_University_G,10
Brown_University_A,11
Stanford_University_E,12
Princeton_University_B,10
Glasgow_University_Union_A,11
The_University_of_Tokyo_A,8
University_of_Auckland_C,12
University_of_Bucharest_Romania_B,11
University_College_London_A,10
Singapore_Management_University_D,11
The_University_of_Hong_Kong_D,11
University_of_British_Columbia_A,8
Telkom_University_Telkom,10
Duke_University_A,9
Universidad_del_Rosario_A,9
University_of_Cape_Town_C,10
Durham_University_RS,9
Independent_University_Bangladesh_A,9
Stanford_University_B,11
University_of_Auckland_D,12
Ateneo_de_Manila_University_BG,11
Delhi_Technological_University_1,10
University_Of_Stellenbosch_Debate_Union_A,9
University_of_Technology_MARA_A,10
International_Islamic_University_Malaysia_A,9
Kwame_Nkrumah_University_of_Science_and_Technology_A,10
Queens_Debating_Union_Queens_University_B,8
Indira_Gandhi_National_Open_University_A,12
Ateneo_de_Manila_University_SY,10
Nanyang_Technological_University_D,11
Trinity_College_Hist_(College_Historical_Society_Trinity_College_Dublin)_AH,6
McGill_University_D,10
Harvard_College_B,9
The_University_of_Tokyo_B,11
University_of_New_South_Wales_E,8
University_of_Alaska_Anchorage_A,10
Hobart_and_William_Smith_Colleges_A,9
Deen_Dayal_Upadhyaya_College_A,10
Amherst_College_GD,9
Hart_House_C,10
Atma_Jaya_Catholic_University_Of_Indonesia_A,9
Brown_University_HK,8
Columbia_University_B,9
Trinity_College_Hist_(College_Historical_Society_Trinity_College_Dublin)_CF,8
Berlin_Debating_Union_A,11
Hankuk_University_of_Foreign_Studies_B,9
BeiHang_University_A,7
University_of_Santo_Tomas_A,8
Universitas_Indonesia_1,8
University_of_Rochester_IL,7
Singapore_Management_University_B,7
University_of_the_Philippines_Diliman_A,11
Columbia_University_C,12
Weizmann_Institute_of_Science_A,10
University_College_London_B,9
Duke_University_B,10
University_of_Belgrade_C,8
University_of_Belgrade_D,8
Columbia_University_A,11
The_University_Philosophical_Society_A,10
Nanyang_Technological_University_C,10
De_La_Salle_University_PG,12
Dartmouth_College_C,9
Keio_University_Japan_YF,10
De_La_Salle_University_HD,7
University_of_Macau_A,10
Redacted_A_,8
Duke_University_C,9
Yonsei_University_KC,10
University_of_Alberta_A,9
University_of_Technology_MARA_B,9
Chulalongkorn_University_C,8
Yonsei_University_PL,8
University_of_Southern_California_A,9
The_University_of_Tokyo_D,8
Symbiosis_Law_School_Pune_A,8
Multimedia_University_A,7
Midlands_State_University_B,8
Brickfields_Asia_College_Malaysia_A,6
Turan_A,7
The_University_of_Hong_Kong_B,6
Universitas_Udayana_A,7
Keio_University_Japan_SG,9
Seoul_National_University_A,6
Waseda_University_Japan_X,7
City_University_of_Hong_Kong_HK,6
Fordham_University_A,9
Ateneo_de_Manila_University_TV,8
University_of_Canterbury_A,9
University_of_Pennsylvania_B,9
Vanderbilt_University_B,7
Strathmore_University_A,11
Diplomatic_Academy_of_Vietnam_A,7
Middlebury_College_CG,10
University_of_Queensland_C,8
University_of_Ottawa_A,7
Swarthmore_College_A,11
Singapore_Management_University_C,9
The_Chinese_University_of_Hong_Kong_A,6
University_of_Technology_MARA_D,7
University_of_Wollongong_A,8
University_of_Waterloo_Canada_B,9
Macquarie_University_B,7
Dartmouth_College_B,9
Vellore_Institute_of_Technology_A,10
Brickfields_Asia_College_Malaysia_C,7
University_of_Waterloo_Canada_A,8
Colgate_University_B,7
Bates_College_CN,9
Victoria_University_of_Wellington_V1,8
Yale-NUS_College_A,7
Davidson_College_1,7
Carleton_University_A,7
Foreign_Trade_University_A,6
Bates_College_MB,10
Universidad_San_Francisco_de_Quito_DS,7
Swing_1,7
Fudan_University_A,7
University_of_Ilorin_Nigeria_A_,8
University_of_Chicago_D,10
University_of_Cape_Town_B,11
Tenaga_Nasional_University_Malaysia_A,9
Victoria_University_of_Wellington_2,6
University_of_Warsaw_Warsaw_Poland_A,8
Middlebury_College_SS,8
Universitas_Gadjah_Mada_A,5
University_of_Western_Ontario_Debate_Society_B,7
Ateneo_de_Davao_University_A,8
Rhodes_University_1,8
International_Islamic_University_Malaysia_B,7
Sciences_Po_C,10
Vanderbilt_University_A,5
Cambridge_Union_Society_D,8
Cornell_University_C,5
Beijing_Foreign_Studies_University_A,6
Sunway_University_Malaysia_B,6
Royal_Institute_of_Colombo_A,8
Queensland_University_of_Technology_A,8
Diplomatic_Academy_of_Vietnam_B,9
The_Hong_Kong_Polytechnic_University_A,6
The_University_of_Hong_Kong_A,5
Diplomatic_Academy_of_Vietnam_C,6
University_of_Waterloo_Canada_C,9
Drexel_University_B,7
Cornell_University_B,8
Instituto_Tecnolgico_y_de_Estudios_Superiores_de_Monterrey_Campus_Estado_de_Mxico_A,7
Macquarie_University_C,7
National_University_of_Singapore_D,7
Singapore_University_of_Social_Sciences_A,8
Split_Debating_Union_-_University_of_Split_A,7
Hanyang_University_A,7
Lewis_&_Clark_College_A,8
University_of_Alberta_B,6
RMIT_University_A,7
Waseda_University_Japan_B,7
University_of_Zimbabwe_A_,7
Colgate_University_C,6
Middlebury_College_SW,6
University_of_Colombo_Sri_Lanka_A_,5
President_University_Indonesia_A,5
KNUST_OBUASI_CAMPUS_A_,6
University_of_St_Andrews_A_,9
University_of_Belgrade_E,7
Thammasat_University_Thailand_A,5
Midlands_State_University_A,4
Amherst_College_MZ,6
Chulalongkorn_University_A,6
The_University_of_Hong_Kong_C,4
Joint,5
Brickfields_Asia_College_Malaysia_B,8
Kwame_Nkrumah_University_of_Science_and_Technology_C_,8
Macau_University_of_Science_and_Technology_C,8
Fordham_University_B,6
Macau_University_of_Science_and_Technology_B,5
Colgate_University_A,6
Doshisha_University_A,5
Sekolah_Tinggi_Bahasa_Asing_-_Persahabatan_International_Asia_A,7
Debatte_Karlsruhe_e.V._Germany_KIT,5
Bates_College_LA,4
Hanyang_University_B,5
Fordham_University_C,6
Drexel_University_A_,6
Brawijaya_University_A,5
FPT_University_A,2
ETH_Zurich/University_of_Zurich_A,8
Swing_2,4
University_of_Macau_B,3
Macau_University_of_Science_and_Technology_A,4
FPT_University_IT,5
Jahangirnagar_University_A_,3
Manado_State_University_MSU,2
Chulalongkorn_University_B,3
Tsinghua_University_A,5
National_Economics_University_A,3
Mindanao_State_University_-_General_Santos_City_A_,5
University_of_Chicago_E,5
FPT_University_Sirius,2
The_University_of_Tokyo_C,3
Khulna_University_of_Engineering_&_Technology_A_,3
Swing_3,2
Asia_Pacific_Institute_of_Information_Technology_A_,1
Xavier_University_-_Ateneo_de_Cagayan_A_,0
Ramaiah_College_of_Law_A_ud83dudcbb,0
Universidad_Pontificia_Comillas_A,0
